"year","stick","value"
1993,2.26975986975987,"low"
1993,2.68603988603988,"mid"
1993,3.01945461945462,"high"
1995,4.16149776149776,"low"
1995,5.03719983719983,"mid"
1995,5.82905982905982,"high"
1997,3.38640618640618,"low"
1997,3.84485144485144,"mid"
1997,4.21994301994302,"high"
2002,4.84509564509564,"low"
2002,5.69947089947089,"mid"
2002,6.49133089133088,"high"
2004,5.86210826210825,"low"
2004,6.75864875864875,"mid"
2004,7.63337403337402,"high"
2009,5.69588929588928,"low"
2009,6.80032560032559,"mid"
2009,7.82140822140821,"high"
2011,3.64916564916564,"low"
2011,4.44151404151403,"mid"
2011,5.19120879120878,"high"
2013,6.12437932437931,"low"
2013,7.52104192104191,"mid"
2013,8.93756613756612,"high"
2014,4.92486772486771,"low"
2014,6.23719983719982,"mid"
2014,7.55002035002034,"high"
