"","area","year","abundance","latitude","SWM","distance_offshore","samps","low_ci","high_ci"
"1","SD25",2008,0.949467689649171,56.1511002756615,4807.91219512195,6331.11505978343,71,0.425450464042946,2.064628153356
"2","SD25",2009,18.0388847043635,56.1559934921015,11205.3391304348,5774.00475384256,668,8.63606560790556,38.13527247903
"3","SD25",2010,78.962962962963,56.1311566906084,53355.5864197531,5053.97833708783,397,47.6259590263783,142.75002728375
"4","SD25",2011,80.6666666666667,56.0594895194899,99363.3333333333,3495.60969334023,74,38.0328937516199,170.277593506308
"5","SD25",2012,63.4266666666667,56.1164857589169,50934.1466666667,4948.57874227225,828,16.6987406529954,182.869855898326
"6","SD25",2013,47.5492227979275,56.1437287939182,45505.6269430052,4647.5609457777,94,27.6503563006129,78.3783167571681
"7","SD25",2014,12.3915662650602,56.1368927535926,25479.1024096386,5124.80530594056,397,7.7575608791106,20.4265632643994
"8","SD25",2015,44.09375,56.1398526883494,25832.60625,5178.27943687439,80,26.881687745816,80.3173933186333
"9","SD25",2016,26.6875,56.139462876302,17728.9722222222,5665.26314247979,539,15.6292302981023,55.4405848524106
"10","SD25",2017,14.5816733067729,56.1467698879466,21293.5278884462,7172.55912555972,107,7.72885298716344,26.3497339896474
"11","SD25",2018,96.275,56.1353092138482,20642.985,5703.71022796631,1030,65.1165505960634,143.517939871463
"12","SD25",2019,219.879487179487,56.1375905692308,22210.5384615385,6127.52047964243,167,170.608517709561,279.903091370386
"13","SD25",2020,111.202749140893,56.1519827093364,12865.8900343643,6076.61830844426,677,78.957170140339,164.965225635091
"15","SD27_29",2001,5.75380606884953,59.412271074501,2825.61826347305,20124.2671791367,205,1.20123835085261,24.0454318418717
"16","SD27_29",2002,0.481347379560833,59.960832629916,1654.8564231738,16735.7802851628,492,0,2.062917340975
"17","SD27_29",2003,7.06550019765959,58.5124066141329,1445.76690821256,11542.1984405717,267,4.59273997915996,14.4979027705425
"18","SD27_29",2004,8.69292382003644,59.4101084298489,5714.60957178841,13174.0307405871,115,3.24996746014284,22.2636752921989
"19","SD27_29",2005,54.3326949953715,59.4520786042732,6489.88311688312,13423.2791114646,326,28.3922411303224,119.958144186386
"20","SD27_29",2006,24.9890047188278,59.4717078687665,7207.70647249191,10166.0676298951,352,17.8257691020808,36.3249143995045
"21","SD27_29",2007,19.8394107562605,59.3465025979865,4230.17872968981,12063.2222743783,162,14.3310377909444,28.0043012455985
"22","SD27_29",2008,24.5274575551458,58.7612707958791,5206.88211382114,11790.8351737104,400,17.5448246482541,34.5652751971864
"23","SD27_29",2009,49.046006149358,58.8232299635844,3450.0736196319,12851.6823474979,97,35.081355004561,71.4437567916382
"24","SD27_29",2010,62.0383792007117,59.4259452810635,4039.2675,8144.04033912895,51,47.7764188583892,82.5036072361681
"25","SD27_29",2011,24.805494846517,59.7052630842611,4109.18489583333,21774.6692711934,384,16.6575795979012,45.3052295045547
"26","SD27_29",2012,33.5685443860422,59.2261417886394,9883.41818181818,14530.4252703802,313,24.6837851373869,53.9289371024453
"27","SD27_29",2013,57.3219676773322,59.5468072871424,4025.09433962264,20030.8425596377,150,26.0178763737893,144.690605316721
"28","SD27_29",2014,126.065832290363,59.5273254742517,4112.43617021277,13836.5482299823,550,74.4847557205025,222.956699670786
"29","SD27_29",2015,42.6647273434607,59.4309200720005,6484.38016528926,14497.613817549,121,27.2434940296241,76.064479504454
"30","SD27_29",2016,3.28,59.6241158718048,4984.56,18741.3586679843,193,1.78,5.6077098469544
"31","SD27_29",2017,66.5040650406504,60.0638211159921,3919.61788617886,13733.5966505659,212,45.405935771523,115.463486214138
"32","SD27_29",2018,10.601226993865,59.6353301408986,4015.22085889571,18549.8534916137,99,6.5196784663089,18.5915231845821
"33","SD27_29",2019,14.1518987341772,59.4217681782535,1680.83544303797,21756.853978512,166,0.417721518987342,76.1387398790841
"34","SD27_29",2020,41.0474934036939,58.699322173542,11656.3324538259,12522.8187093229,470,29.6040428465181,57.0680457977636
"35","SD30",2002,7.37818184114482,61.4390991891892,12259.1351351351,2324.6276854438,198,3.32018182851517,13.6496364061179
"36","SD30",2003,0,60.783850106383,1441.64893617021,5296.46890063996,160,0,0
"37","SD30",2004,30.7116819137653,61.072124375,1000.675,3796.36252145937,242,11.2609500350473,105.226126326539
"39","SD30",2006,9.37656460185537,60.8684075648703,838.796407185629,5354.96190748386,144,2.13030181023222,28.3624564701671
"40","SD30",2007,302.11195245541,61.4420526666667,839.755555555556,2793.59160207149,100,120.723450880776,749.590015805177
"42","SD30",2009,41.6818016276595,61.6169777304293,6970.36647727273,4573.15662499281,502,26.3746167979657,71.538964920452
"43","SD30",2010,18.8247422680412,61.8488026575737,8939.63917525773,4383.65920785017,246,12.2164948453608,33.7724401955536
"45","SD30",2012,94.0568364693078,61.5539509144414,7047.60330578512,9176.93938553342,200,46.2508301359143,188.944840265993
"46","SD30",2013,14.668449197861,60.9203897339446,7976.20202020202,8640.82871061669,163,5.99276605241223,32.9995422132583
"48","SD30",2015,101.692307692308,60.6165207692308,35443,1709.11321199857,390,37,222.005101023179
"49","SD30",2016,7.45833333333333,60.5904900515547,21646,5918.9285176595,79,1.58333333333333,23.9440803971851
"50","SD30",2017,148.454545454545,60.5328908712273,13586,6162.63439941406,291,71.6363636363636,287.695608385994
"51","SD30",2018,50.8,62.5517966666667,7270.62222222222,5087.0263073509,379,18.3333333333333,132.041951661084
"52","SD30",2020,25.4901960784314,60.5272707235228,1567.90196078431,7621.0339977788,51,12.1176470588235,57.6494974866449
